"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:12:08 PM"


186
x,y
-109.096,15.6979,
-106.601,15.6973,
-103.708,15.6911,
-100.017,15.6902,
-96.6242,15.6893,
-93.5303,15.6996,
-90.7370,15.6934,
-87.9433,15.6927,
-84.8511,15.6809,
-81.2587,15.6856,
-78.7647,15.6794,
-77.1674,15.6901,
-76.9807,15.5301,
-76.7931,15.3812,
-76.5066,15.2212,
-76.5203,15.0502,
-76.4316,14.9123,
-76.2471,14.7248,
-76.1593,14.5758,
-76.1752,14.3773,
-75.8869,14.2394,
-75.9051,14.0133,
-75.4217,13.8201,
-75.7409,13.5721,
-75.6575,13.3680,
-75.6721,13.1860,
-75.6885,12.9820,
-75.8033,12.7945,
-75.5150,12.6566,
-75.4294,12.4801,
-75.2476,12.2594,
-75.0630,12.0719,
-75.0812,11.8458,
-74.9002,11.6141,
-74.8146,11.4376,
-74.9290,11.2557,
-74.7467,11.0405,
-74.6633,10.8365,
-74.3817,10.6158,
-74.5009,10.3732,
-74.3217,10.1195,
-73.9407,9.89328,
-74.0569,9.68926,
-73.9722,9.50173,
-73.7845,9.35279,
-73.5029,9.13213,
-73.5224,8.88949,
-73.1419,8.65777,
-73.1640,8.38204,
-72.7843,8.13930,
-72.9998,7.94082,
-72.5191,7.71460,
-72.3394,7.46639,
-72.4560,7.25686,
-72.2729,7.05277,
-71.9952,6.78248,
-71.8120,6.57839,
-71.6306,6.35224,
-71.6501,6.10959,
-71.2682,5.89442,
-70.9884,5.65171,
-70.9067,5.42558,
-70.5236,5.22695,
-70.4424,4.99532,
-70.0587,4.80221,
-70.1767,4.57613,
-69.5979,4.32782,
-69.1132,4.15123,
-69.3309,3.92518,
-68.8471,3.73756,
-68.4656,3.51688,
-68.1858,3.27416,
-67.8035,3.06450,
-67.4208,2.86036,
-66.7374,2.67270,
-66.2557,2.45750,
-65.1763,2.23113,
-64.3945,2.02690,
-63.3107,1.85567,
-62.5249,1.70107,
-61.2366,1.59046,
-60.1435,1.53504,
-58.6438,1.57328,
-57.8385,1.66131,
-57.1321,1.76041,
-56.5246,1.87055,
-55.9157,1.99724,
-55.2045,2.15700,
-54.8914,2.32788,
-54.3819,2.46011,
-53.8684,2.64197,
-53.4538,2.83488,
-53.3386,3.02787,
-52.9275,3.17667,
-52.8149,3.33657,
-52.4012,3.51845,
-52.0855,3.72242,
-51.7725,3.89330,
-51.6594,4.05872,
-51.1464,4.23506,
-50.8325,4.41697,
-50.3203,4.58229,
-50.2033,4.79734,
-49.8889,4.98476,
-49.3719,5.21074,
-48.8571,5.40915,
-48.8411,5.60767,
-48.4243,5.82816,
-47.5117,6.00992,
-47.1925,6.25801,
-46.5761,6.47845,
-46.3611,6.67141,
-45.6472,6.86425,
-45.0330,7.05712,
-44.5196,7.23898,
-44.1041,7.44293,
-43.4930,7.59719,
-42.9791,7.78456,
-42.6656,7.96096,
-41.7526,8.14824,
-40.9407,8.31900,
-40.0281,8.50076,
-39.1155,8.68252,
-38.4038,8.84779,
-37.2907,9.04053,
-36.6757,9.24443,
-35.8607,9.45379,
-35.2479,9.63011,
-34.4351,9.81190,
-33.8174,10.0489,
-33.5992,10.2804,
-32.7882,10.4402,
-32.6743,10.6166,
-32.3595,10.8096,
-31.8460,10.9914,
-31.6305,11.1899,
-31.1161,11.3828,
-30.8013,11.5757,
-30.4860,11.7742,
-30.1730,11.9451,
-29.0684,12.0330,
-27.7651,12.1099,
-26.1616,12.1978,
-24.4570,12.3021,
-22.6544,12.3844,
-20.8504,12.4832,
-18.7467,12.5875,
-16.9428,12.6863,
-14.7398,12.7850,
-13.0360,12.8784,
-10.9323,12.9826,
-8.72928,13.0814,
-6.92623,13.1692,
-4.62164,13.2899,
-2.81903,13.3722,
-0.816868,13.4544,
1.78528,13.5531,
3.98832,13.6518,
6.48937,13.7339,
8.89152,13.8271,
11.0937,13.9147,
13.3943,13.9859,
16.3969,14.1009,
18.7986,14.1886,
21.2979,14.2486,
24.0982,14.3307,
26.9984,14.4127,
29.6968,14.4672,
32.5978,14.5602,
36.2944,14.6200,
39.2943,14.7020,
42.9922,14.7783,
46.3895,14.8381,
49.3868,14.8870,
52.8838,14.9468,
56.0815,15.0067,
59.8766,15.0499,
62.7745,15.1043,
66.7691,15.1474,
70.5637,15.1851,
73.7587,15.2119,
77.1538,15.2442,
80.9475,15.2708,
84.7421,15.3085,
87.1372,15.3134,
88.8356,15.3406,
